prix_terasse,geoloc,address,name,date,zipcode,geometry,recordid,prix_salle,prix_comptoir,city,country
-,"[48.83336, 2.365782]",77 rue Dunois,Le Dunois,2013-08-22,75013,"{'coordinates': [2.365782, 48.83336], 'type': 'Point'}",c3be1246dbc4ca5734d5bbd569436ba655105248,-,1,Paris,France
-,"[48.862655, 2.337607]",202 rue Saint Honoré,Ragueneau,2012-05-11,75001,"{'coordinates': [2.337607, 48.862655], 'type': 'Point'}",e946d9e8f8c5a130f98eca945efadfd9eec40dcb,-,1,Paris,France
,"[48.826608, 2.374571]",48 rue du Dessous des Berges,Le Caminito,2012-10-22,75013,"{'coordinates': [2.374571, 48.826608], 'type': 'Point'}",5d9ad8bcfbbc20adaec2aa7dcdb71326868c7686,1,1,Paris,France
-,"[48.870598, 2.365413]",55bis quai de Valmy,Epicerie Musicale,2012-10-22,75010,"{'coordinates': [2.365413, 48.870598], 'type': 'Point'}",8ffea133d93c608d337bc0129f4f9f3d5cad8dae,1,1,Paris,France
-,,Le petit Bretonneau - à l'intérieur de l'Hôpital,Le petit Bretonneau,2012-10-22,75018,{},dd1ffdbd55c2dc651201302b8015258f7d35fd35,1,1,Paris,France
-,"[48.862575, 2.367427]",104 rue amelot,Le Centenaire,2012-10-22,75011,"{'coordinates': [2.367427, 48.862575], 'type': 'Point'}",e47d25752c2c8bcab5efb0e3a41920ec7a8a766a,1,1,Paris,France
-,"[48.842833, 2.348314]",13 Rue du Pot de Fer,La Montagne Sans Geneviève,2012-10-22,75005,"{'coordinates': [2.348314, 48.842833], 'type': 'Point'}",314d170601f81e3a3f26d8801f0fbee39981c788,1,,Paris,France
-,"[48.851325, 2.40171]",46 rue de Buzenval,Les Pères Populaires,2012-10-18,75020,"{'coordinates': [2.40171, 48.851325], 'type': 'Point'}",e75e8a3fe6212a0e576beec82f0128dd394e56fa,1,1,Paris,France
-,"[48.857658, 2.305613]",188 rue de Grenelle,Cafe de grenelle,2012-10-09,75007,"{'coordinates': [2.305613, 48.857658], 'type': 'Point'}",72e274046d671e68bc7754808feacfc95b91b6ed,-,1,Paris,France
-,"[48.875207, 2.332944]",73 rue de la Victoire,Le relais de la victoire,2012-10-09,75009,"{'coordinates': [2.332944, 48.875207], 'type': 'Point'}",01c21abdf35484f9ad184782979ecd078de84523,-,1,Paris,France
-,,"Route de la Muette à Neuilly
Club hippique du Jardin d’Acclimatation",La chaumière gourmande,2012-03-07,75016,{},438ec18d35793d12eb6a137373c3fe4f3aa38a69,1,,Paris,France
-,"[48.891882, 2.33365]","216, rue Marcadet",Le Brio,2012-03-07,75018,"{'coordinates': [2.33365, 48.891882], 'type': 'Point'}",49e3584ce3d6a6a236b4a0db688865bdd3483fec,-,1,Paris,France
-,"[48.884753, 2.324648]",22 rue des Dames,Caves populaires,2012-03-07,75017,"{'coordinates': [2.324648, 48.884753], 'type': 'Point'}",af81e5eca2b84ea706ac2d379edf65b0fb2f879a,-,1,Paris,France
-,"[48.827428, 2.325652]",12 avenue Jean Moulin,Caprice café,2012-03-07,75014,"{'coordinates': [2.325652, 48.827428], 'type': 'Point'}",88e07bdb723b49cd27c90403b5930bca1c93b458,-,1,Paris,France
-,"[48.832964, 2.369266]",7 rue Clisson,Tamm Bara,2012-03-07,75013,"{'coordinates': [2.369266, 48.832964], 'type': 'Point'}",baf59c98acafbe48ed9e91b64377da216a20cbcc,-,1,Paris,France
-,"[48.876577, 2.348414]",1 rue de Montholon,L'anjou,2012-03-07,75009,"{'coordinates': [2.348414, 48.876577], 'type': 'Point'}",e6f5949dca40548aad296208c61c498f639f648c,-,1,Paris,France
-,"[48.862599, 2.315086]",2 rue Robert Esnault Pelterie,Café dans l'aerogare Air France Invalides,2012-03-07,75007,"{'coordinates': [2.315086, 48.862599], 'type': 'Point'}",6d175eb48c577fafdfc99df0ab55da468cf17164,-,1,Paris,France
-,"[48.844854, 2.345413]","10 rue d""Ulm",Waikiki,2012-03-07,75005,"{'coordinates': [2.345413, 48.844854], 'type': 'Point'}",fb1e2bc2ae55d3d47da682c71093a12fa64fbd45,-,1,Paris,France
-,"[48.871576, 2.364499]",36 rue Beaurepaire,Chez Prune,2012-03-07,75010,"{'coordinates': [2.364499, 48.871576], 'type': 'Point'}",19399ede5b619761877822185bbb4c98b565974c,-,1,Paris,France
-,"[48.833863, 2.329046]",21 rue Boulard,Au Vin Des Rues,2012-06-27,75014,"{'coordinates': [2.329046, 48.833863], 'type': 'Point'}",87263873b6f8346b5777844be0122a307f29fcab,-,1,Paris,France
-,"[48.838137, 2.301166]",14 rue d'alleray,bistrot les timbrés,2012-06-27,75015,"{'coordinates': [2.301166, 48.838137], 'type': 'Point'}",74b6d7113e5b14eb8e890663f061208bf4ff6728,-,1,Paris,France
-,"[48.871799, 2.315985]",9 rue de Miromesnil,Café beauveau,2012-06-27,75008,"{'coordinates': [2.315985, 48.871799], 'type': 'Point'}",2759f5cdda4bcb88ca3ae2f7299b37b8e62596c8,-,1,Paris,France
-,"[48.866259, 2.338739]",9 rue des petits champs,Café Pistache,2012-06-27,75001,"{'coordinates': [2.338739, 48.866259], 'type': 'Point'}",6d2675cdc912118d0376229be8e436feca9c8af7,-,1,Paris,France
-,"[48.874605, 2.387738]",13 Rue Jean-Baptiste Dumay,La Cagnotte,2012-06-27,75020,"{'coordinates': [2.387738, 48.874605], 'type': 'Point'}",f7085c754c0c97e418d7e5213753f74bd396fc27,-,1,Paris,France
-,"[48.842462, 2.310919]",172 rue de vaugirard,le 1 cinq,2012-06-27,75015,"{'coordinates': [2.310919, 48.842462], 'type': 'Point'}",17e917723fc99d6e5bd77eb9633ac2e789a9a6d9,-,1,Paris,France
-,"[48.84591, 2.375543]",28 bis boulevard Diderot,Le Killy Jen,2012-06-27,75012,"{'coordinates': [2.375543, 48.84591], 'type': 'Point'}",93132bd8b3ae67dfcc8cf8c1166e312ac4acb9b9,-,1,Paris,France
-,"[48.842868, 2.303173]",106 rue Lecourbe,Les Artisans,2012-06-27,75015,"{'coordinates': [2.303173, 48.842868], 'type': 'Point'}",c37ef573b4cb2d1e61795d6a9ef11de433dc9a99,-,1,Paris,France
-,"[48.865684, 2.334416]",83 avenue de Wagram,Peperoni,2012-06-27,75001,"{'coordinates': [2.334416, 48.865684], 'type': 'Point'}",9461f859ca009ced25555fa6af1e6867dda9223e,-,1,Paris,France
-,"[48.833146, 2.288834]",380 rue de vaugirard,le lutece,2014-02-01,75015,"{'coordinates': [2.288834, 48.833146], 'type': 'Point'}",ddd13990c1408700085366bd4ba313acd69a44ea,-,1,Paris,France
-,"[48.886431, 2.327429]",16 rue Ganneron,Brasiloja,2014-02-01,75018,"{'coordinates': [2.327429, 48.886431], 'type': 'Point'}",d679bb1642534278f4c0203d67be0bafd5306d81,-,1,Paris,France
-,"[48.855711, 2.359491]",16 rue de Rivoli,Rivolux,2014-02-01,75004,"{'coordinates': [2.359491, 48.855711], 'type': 'Point'}",bdd2b008cc765c7fe195c037b830cd2628420a2f,-,1,Paris,France
-,"[48.845898, 2.372766]",21 Bis Boulevard Diderot,L'européen,2013-08-22,75012,"{'coordinates': [2.372766, 48.845898], 'type': 'Point'}",693c0da7d4db24781ed161c01a661c36074a94fa,-,1,Paris,France
-,"[48.867465, 2.357791]",39 rue Notre Dame de Nazareth,NoMa,2013-08-22,75003,"{'coordinates': [2.357791, 48.867465], 'type': 'Point'}",60d8b670810cc95eb0439dd0c238f8205ea8ef76,-,1,Paris,France
-,"[48.871595, 2.385858]",1 Rue des Envierges,O'Paris,2013-08-22,75020,"{'coordinates': [2.385858, 48.871595], 'type': 'Point'}",297c040284a05efe35c69bb621505e6acfdcdda4,-,1,Paris,France
-,"[48.872402, 2.366532]",16 avenue Richerand,Café Clochette,2013-08-22,75010,"{'coordinates': [2.366532, 48.872402], 'type': 'Point'}",a561a941f538e8a1d321bf8d98576d06be037962,-,1,Paris,France
-,"[48.856584, 2.368574]",40 Boulevard Beaumarchais,La cantoche de Paname,2013-08-22,75011,"{'coordinates': [2.368574, 48.856584], 'type': 'Point'}",5ba2aaec9f1de9d01e65be95215cab13c693cdf3,-,0,Paris,France
-,"[48.856496, 2.394874]",148 Boulevard de Charonne,Le Saint René,2013-08-22,75020,"{'coordinates': [2.394874, 48.856496], 'type': 'Point'}",4d60b350d04d4b1bf4bfd4dd6cc59687dc792c74,-,1,Paris,France
-,"[48.850055, 2.383908]",196 rue du faubourg saint-antoine,La Liberté,2012-10-22,75012,"{'coordinates': [2.383908, 48.850055], 'type': 'Point'}",ee94e76326f8dcbe3500afec69f1a21eb1215ad0,1,1,Paris,France
-,"[48.866737, 2.33716]",16 rue des Petits Champs,Chez Rutabaga,2012-10-22,75002,"{'coordinates': [2.33716, 48.866737], 'type': 'Point'}",a420ea4608440b8dc8e0267fe8cc513daa950551,1,1,Paris,France
-,"[48.885367, 2.325325]",2 rue Lemercier,Le BB (Bouchon des Batignolles),2012-10-22,75017,"{'coordinates': [2.325325, 48.885367], 'type': 'Point'}",20986cbfe11018bd0aba8150a49db1c435f7642d,1,1,Paris,France
-,"[48.873175, 2.339193]",10 rue Rossini,La Brocante,2012-10-22,75009,"{'coordinates': [2.339193, 48.873175], 'type': 'Point'}",2e10601c35669394d43936a771b18408be0338ba,1,1,Paris,France
-,"[48.840771, 2.324589]",3 rue Gaîté,Le Plomb du cantal,2012-10-22,75014,"{'coordinates': [2.324589, 48.840771], 'type': 'Point'}",6fb510614e00b065bf16a5af8e2c0eaf561a5654,1,1,Paris,France
-,"[48.884753, 2.324648]",22 rue des Dames,Les caves populaires,2012-10-22,75017,"{'coordinates': [2.324648, 48.884753], 'type': 'Point'}",d650c509a0aa8ed7b9c9b88861263f31463bbd0e,1,1,Paris,France
-,"[48.869519, 2.39339]",108 rue de Ménilmontant,Chez Luna,2012-10-09,75020,"{'coordinates': [2.39339, 48.869519], 'type': 'Point'}",736f4d996f1f8b7c3a0ce2abfeebfcce2a4bab13,-,1,Paris,France
-,"[48.877903, 2.385365]",1 rue du Plateau,Le bar Fleuri,2012-03-07,75019,"{'coordinates': [2.385365, 48.877903], 'type': 'Point'}",be55720646093788ec161c6cadc5ad8059f4b90b,-,1,Paris,France
-,"[48.882939, 2.31809]",101 rue des dames,Trois pièces cuisine,2012-03-07,75017,"{'coordinates': [2.31809, 48.882939], 'type': 'Point'}",7bbbfb755020a2c25cce0067601994ce5ee4193f,-,1,Paris,France
-,"[48.849497, 2.298855]",61 avenue de la Motte Picquet,Le Zinc,2012-03-07,75015,"{'coordinates': [2.298855, 48.849497], 'type': 'Point'}",e7c35a94454518de6de5bbecbc015fc37f7aea14,-,1,Paris,France
-,"[48.880669, 2.349964]",136 rue du Faubourg poissonnière,La cantine de Zoé,2012-03-07,75010,"{'coordinates': [2.349964, 48.880669], 'type': 'Point'}",0edc473b3432a869b8ed66b6c4c989766b699947,-,1,Paris,France
-,"[48.844057, 2.328402]",6/8 rue Stanislas,Les Vendangeurs,2012-03-07,75006,"{'coordinates': [2.328402, 48.844057], 'type': 'Point'}",e9766ea36f6293bf670ed938bff02b975d012973,-,1,Paris,France
-,"[48.852053, 2.338779]",3 carrefour de l'Odéon,L'avant comptoir,2012-03-07,75006,"{'coordinates': [2.338779, 48.852053], 'type': 'Point'}",fe843d2f43dcaac9129f5b36dc367558dfd3b3e4,-,1,Paris,France
1,"[48.886504, 2.34498]",1 rue Paul albert,Botak cafe,2012-03-07,75018,"{'coordinates': [2.34498, 48.886504], 'type': 'Point'}",9e19c375e612f5fb803ec6a27881858619207812,1,1,Paris,France
-,"[48.872722, 2.354594]",67 rue du Château d'eau,le chateau d'eau,2012-03-07,75010,"{'coordinates': [2.354594, 48.872722], 'type': 'Point'}",05bb6a26ec5bfbba25da2d19a5f0e83d69800f38,-,1,Paris,France
-,"[48.85192, 2.373229]",58 rue du Fbg Saint-Antoine,Bistrot Saint-Antoine,2012-06-27,75012,"{'coordinates': [2.373229, 48.85192], 'type': 'Point'}",daa3908ddf69d378fec5b4548494727e1121adc4,-,1,Paris,France
-,"[48.854685, 2.368487]",11/13 boulevard Beaumarchais,Chez Oscar,2012-06-27,75004,"{'coordinates': [2.368487, 48.854685], 'type': 'Point'}",c73be0483480c59e6ab6bc3a906c8d9dd474887f,-,1,Paris,France
-,"[48.87226, 2.304441]",63 rue de Ponthieu,Le Fronton,2012-06-27,75008,"{'coordinates': [2.304441, 48.87226], 'type': 'Point'}",85a8200d3e3aed7724d3207ed8b1ee5ec50c1f90,-,1,Paris,France
-,"[48.851, 2.300378]",48 avenue de la Motte Picquet,Le Piquet,2012-06-27,75015,"{'coordinates': [2.300378, 48.851], 'type': 'Point'}",460e2adc95fd172f753b1b6ed296c2711639d49d,-,1,Paris,France
-,"[48.841089, 2.349565]",104 rue Mouffetard,Le Tournebride,2012-06-27,75005,"{'coordinates': [2.349565, 48.841089], 'type': 'Point'}",8a7a23ed68366f70ab939c877cbdce46f19d75c7,-,1,Paris,France
-,"[48.828704, 2.322074]",52 rue des plantes,maison du vin,2012-06-27,75014,"{'coordinates': [2.322074, 48.828704], 'type': 'Point'}",482507a8f0fe4960f94372b6fa12b16e7d4f2a93,-,1,Paris,France
-,"[48.842146, 2.375986]",157 rue Bercy 75012 Paris,L'entrepôt,2014-02-01,75012,"{'coordinates': [2.375986, 48.842146], 'type': 'Point'}",d8746118429eb118f38ecbee904636d9b33fa8ba,-,1,Paris,France
-,"[48.867092, 2.363288]",Place de la République,Le café Monde et Médias,2013-08-22,75003,"{'coordinates': [2.363288, 48.867092], 'type': 'Point'}",af04c90f25e25daf7f5cbbab1bc740bac26541d4,-,1,Paris,France
-,"[48.849821, 2.355337]",11 Quai de la Tournelle,Café rallye tournelles,2013-08-22,75005,"{'coordinates': [2.355337, 48.849821], 'type': 'Point'}",91d88e321a75b6a8c4dea816c399fda77c41f9d1,-,1,Paris,France
-,"[48.872498, 2.355136]",61 rue du château d'eau,Brasserie le Morvan,2013-08-22,75010,"{'coordinates': [2.355136, 48.872498], 'type': 'Point'}",6ec62058995948fc18d331f01a2d03acc0d9e0fa,-,1,Paris,France
1,"[48.874879, 2.386064]",6 rue Mélingue,Chez Miamophile,2013-08-22,75019,"{'coordinates': [2.386064, 48.874879], 'type': 'Point'}",13924872737e4fc640a43da58937c3777c2ac753,1,1,Paris,France
